KL_numpy,recon_np,full_np
2.6465294,1746.8313,1749.4778
2.402406,1783.9047,1786.3071
2.5845945,1743.944,1746.5286
2.4632695,1761.5912,1764.0544
2.4430892,1754.1738,1756.617
2.5397928,1754.9081,1757.4479
2.5905998,1733.0262,1735.6168
2.6020782,1731.3082,1733.9103
2.6604278,1693.1656,1695.826
2.4169388,1792.5231,1794.9401
2.6037605,1736.3138,1738.9176
2.5880337,1729.4567,1732.0447
2.5910861,1700.7811,1703.3722
2.6612682,1728.9635,1731.6248
2.5893517,1716.3877,1718.977
2.5141351,1729.8246,1732.3387
2.6574478,1746.6512,1749.3087
2.7426288,1715.0348,1717.7775
2.462384,1760.0873,1762.5497
2.7125273,1707.0778,1709.7903
2.5664678,1734.5748,1737.1414
2.5101655,1760.4707,1762.9808
2.5272171,1725.9672,1728.4944
2.6957438,1727.5912,1730.287
2.5469837,1748.1488,1750.6958
2.734293,1672.8551,1675.5894
2.6104696,1764.1942,1766.8047
2.6028936,1719.6243,1722.2272
2.5840628,1711.8842,1714.4683
2.61661,1725.8346,1728.4512
2.6629395,1708.7731,1711.436
2.5997436,1688.8871,1691.4868
2.76621,1693.9261,1696.6924
2.6565516,1739.6693,1742.3258
2.7329476,1676.5645,1679.2974
2.6506205,1716.4886,1719.1393
2.54101,1742.0038,1744.5448
2.5120473,1705.0071,1707.5192
2.6355946,1711.5953,1714.231
2.6786854,1714.8063,1717.485
2.647791,1713.1602,1715.808
2.5785959,1737.885,1740.4636
2.7460618,1700.475,1703.2211
2.5847633,1746.6595,1749.2443
2.5744607,1725.5186,1728.093
2.6229463,1721.679,1724.3019
2.6828797,1723.6367,1726.3196
2.6135147,1681.1669,1683.7804
2.6552944,1731.43,1734.0853
2.5947976,1749.6711,1752.266
2.6501071,1729.1356,1731.7858
2.6134472,1701.207,1703.8204
2.550973,1746.4867,1749.0377
2.7653153,1700.1903,1702.9556
2.6706874,1722.0088,1724.6794
2.6409326,1721.2444,1723.8854
2.6447678,1672.1309,1674.7756
2.7398381,1665.4111,1668.151
2.5932178,1739.4147,1742.0079
2.6483085,1726.0038,1728.6521
2.785166,1701.451,1704.2362
2.672882,1708.5413,1711.2141
2.4447773,1757.3461,1759.7909
2.5093257,1765.2548,1767.764
2.6275964,1739.1571,1741.7847
2.5079834,1743.2676,1745.7755
2.650979,1747.1096,1749.7606
2.5661247,1696.3674,1698.9336
2.7167435,1694.7281,1697.445
2.6315339,1695.0485,1697.68
2.729015,1687.1508,1689.8798
2.7572114,1687.4504,1690.2076
2.608118,1748.3258,1750.934
2.5291631,1720.2611,1722.7903
2.579493,1754.055,1756.6345
2.5760286,1742.4827,1745.0587
2.6502116,1681.3008,1683.951
2.7171078,1656.2152,1658.9324
2.4580555,1778.9559,1781.414
2.7532008,1700.0969,1702.8501
2.6542797,1705.2373,1707.8916
2.6349564,1646.482,1649.1171
2.600066,1740.8918,1743.492
2.7170286,1713.2186,1715.9357
2.7957559,1638.7034,1641.4991
2.7560737,1690.0887,1692.8448
2.6764817,1740.8418,1743.5183
2.4649868,1762.6254,1765.0903
2.6519032,1681.9305,1684.5824
2.6438015,1700.2073,1702.8511
2.7043827,1710.9299,1713.6343
2.6015682,1731.5422,1734.1438
2.8230777,1690.9141,1693.7372
2.7121437,1680.4348,1683.147
2.647581,1718.5325,1721.18
2.7009645,1688.886,1691.5869
2.6141548,1727.0973,1729.7114
2.7052093,1705.7881,1708.4933
2.6428862,1721.069,1723.7119
2.7798612,1728.7871,1731.567
