KL_numpy,recon_np,full_np
0.0022089554,2114.197,2115.2603
0.0020576238,2122.306,2122.5298
0.06621677,2041.2246,2041.8517
0.070842996,1987.9641,1989.2268
0.11737646,1955.5608,1955.7856
0.07064125,1941.0941,1952.0066
0.38538757,1879.6077,1879.8354
0.15114091,1907.4479,1907.908
0.070389114,1913.0471,1934.33
0.23711932,1912.7621,1913.3301
0.14392793,1910.6926,1911.358
0.1369293,1890.5725,1892.1964
0.12657426,1900.1097,1941.2222
0.0896248,1935.5219,1937.8464
1.4821802,1890.2177,1891.532
1.9655905,1825.18,1826.2773
0.308122,1855.5043,1859.3298
0.70948553,1905.0629,1905.9346
0.13255198,1857.092,1860.5714
0.10640261,1879.6578,1881.1428
0.16306181,1891.8656,1894.8564
1.5798398,1825.1019,1825.734
0.09683892,1896.5842,1900.4944
0.097115666,1905.6566,1954.147
0.13383745,1896.4496,1901.0342
0.1487244,1914.7278,1919.7981
0.55515116,1903.3427,1904.4458
2.4731796,1850.846,1851.3693
2.5278518,1855.1312,1855.5298
1.3382399,1835.2723,1836.7067
0.124896504,1859.2031,1879.7396
0.11087681,1896.1991,1901.1923
1.6308807,1842.4385,1843.2417
0.11602783,1876.4706,1930.4244
0.3519759,1852.6722,1856.4539
0.12787461,1873.5918,1900.5219
0.098924614,1862.7633,1908.7454
1.7980031,1819.1005,1820.0785
1.3082234,1840.3889,1841.7174
0.102826886,1871.0731,1898.2223
0.096772574,1880.2025,1882.6205
0.3342605,1889.5653,1891.1494
0.18522859,1848.7926,1850.1001
0.10705642,1888.6371,1890.7799
0.4524603,1870.1469,1871.4473
1.7030048,1843.6262,1844.9031
1.5784973,1834.8467,1835.847
0.12569807,1839.6766,1842.9747
0.112757064,1852.2264,1882.8289
0.10704775,1861.203,1874.4224
0.17086855,1791.6975,1793.4777
0.15263556,1871.6543,1873.1787
0.11085009,1889.3422,1909.7081
0.108493745,1894.1318,1945.2006
0.14293242,1848.4554,1850.8108
1.8361286,1864.7938,1865.367
1.0783268,1809.8075,1811.001
0.10500586,1876.1488,1878.9647
0.13404314,1833.1875,1870.3048
2.0905144,1822.3372,1823.1661
2.0064332,1788.6338,1788.9747
0.10400887,1884.3759,1885.496
0.56105185,1793.0166,1794.8218
0.11305878,1880.4211,1882.3049
0.10824048,1812.5121,1816.2716
0.13753073,1816.1598,1853.6873
0.6112917,1823.9098,1825.7448
1.5850587,1854.7281,1855.0369
1.0748367,1802.7499,1802.984
0.14795326,1833.6442,1834.6205
0.2128487,1778.0967,1803.6682
0.1068692,1837.1034,1849.5804
2.1969962,1790.8993,1791.1818
0.16783845,1823.9583,1905.8856
1.4537007,1816.1731,1816.8627
0.14555119,1815.8539,1823.1156
0.14303859,1876.8578,1883.6304
0.15160836,1791.5829,1817.3694
0.7600617,1804.9574,1806.251
0.15166028,1806.5839,1814.436
0.5417096,1811.8075,1812.3441
0.5292216,1833.0555,1833.8757
0.24673037,1839.9774,1841.4155
0.8971505,1784.0559,1787.0034
0.6827405,1810.5566,1812.3467
0.8909637,1789.1807,1789.7825
0.091054015,1903.9032,1944.0282
0.802847,1807.5453,1808.5854
0.11776992,1855.75,1878.1256
0.25119206,1820.0258,1822.3751
0.5847055,1837.0234,1840.2179
0.72648513,1839.9755,1840.4774
0.121066,1837.9805,1839.6971
1.1209831,1802.3938,1803.7924
0.93296355,1796.0348,1797.3723
2.9451916,1772.3981,1772.7863
2.8489206,1811.809,1812.2687
0.18338227,1824.0331,1827.0903
0.12680797,1864.8743,1868.012
2.1402519,1817.4437,1817.7294
