KL_numpy,recon_np,full_np
0.26961514,1985.209,1989.5228
0.30704814,1927.0153,1931.928
0.36742926,1875.4244,1881.3033
0.3343126,1886.8695,1892.2185
0.33095637,1876.3402,1881.6355
0.3077208,1906.5055,1911.4291
0.3613277,1887.7297,1893.511
0.4215394,1843.002,1849.7466
0.43520346,1853.8235,1860.7867
0.40049496,1861.1161,1867.524
0.4138875,1857.633,1864.2552
0.37390345,1864.0453,1870.0277
0.37643212,1856.2274,1862.2504
0.4025261,1847.8207,1854.2611
0.3903895,1850.0643,1856.3105
0.43161574,1830.7832,1837.6891
0.36062756,1884.2723,1890.0424
0.4469605,1803.0833,1810.2346
0.46579638,1796.5791,1804.0319
0.46416292,1800.209,1807.6356
0.4723733,1804.2606,1811.8186
0.54500437,1777.05,1785.7701
0.4897085,1812.6547,1820.49
0.4450492,1842.7098,1849.8306
0.45630604,1838.7249,1846.0258
0.491744,1807.8934,1815.7614
0.42475134,1837.1102,1843.9062
0.41859612,1854.6259,1861.3234
0.4822301,1807.9105,1815.6262
0.44211322,1802.9443,1810.0182
0.45512056,1826.0367,1833.3187
0.508395,1749.6895,1757.8237
0.4891506,1797.2523,1805.0787
0.46845007,1813.2979,1820.7931
0.44822747,1835.0208,1842.1924
0.47686693,1814.6731,1822.303
0.5035605,1755.8772,1763.9342
0.44170037,1822.0032,1829.0704
0.4929181,1762.9618,1770.8485
0.4847786,1792.7246,1800.4811
0.4678607,1817.4071,1824.8928
0.5005561,1785.6298,1793.6387
0.4550945,1819.6487,1826.9302
0.47181818,1809.1493,1816.6984
0.46263677,1799.7985,1807.2007
0.5333349,1751.6854,1760.2188
0.48735067,1816.6937,1824.4913
0.48105535,1813.2897,1820.9866
0.4922327,1799.7122,1807.5879
0.48661542,1768.5533,1776.3392
0.5113208,1755.2875,1763.4686
0.47867057,1785.7223,1793.381
0.4651781,1812.6592,1820.102
0.4581461,1805.1761,1812.5065
0.46753308,1809.5188,1816.9993
0.51411873,1754.4117,1762.6377
0.4672353,1795.8688,1803.3445
0.49945107,1771.3324,1779.3236
0.536843,1770.3711,1778.9606
0.54441446,1739.4086,1748.1191
0.4727498,1803.9056,1811.4696
0.5708422,1691.9069,1701.0403
0.5246215,1775.5393,1783.9332
0.48611996,1813.7279,1821.5059
0.5028459,1778.6328,1786.6783
0.5312889,1760.4086,1768.9092
0.54037887,1799.4186,1808.0647
0.49814415,1781.3883,1789.3586
0.49649334,1761.6884,1769.6322
0.5258712,1754.1342,1762.5481
0.4673787,1819.7992,1827.2772
0.5169188,1782.3793,1790.65
0.5530632,1744.3182,1753.1672
0.5006852,1794.2461,1802.2571
0.485262,1791.8397,1799.6039
0.52834064,1769.475,1777.9285
0.49529925,1764.0424,1771.9672
0.47565943,1826.5094,1834.12
0.48958483,1777.0731,1784.9065
0.46702176,1822.9293,1830.4016
0.5268256,1786.7762,1795.2054
0.49583864,1775.516,1783.4495
0.50249785,1770.5912,1778.6311
0.5452982,1739.5883,1748.313
0.5408371,1765.0479,1773.7013
0.51265013,1805.3457,1813.5481
0.5436883,1731.12,1739.819
0.5135499,1790.8235,1799.0403
0.5059077,1777.4993,1785.5938
0.5097249,1774.7297,1782.8854
0.5835044,1700.2948,1709.6309
0.5494394,1782.8541,1791.6451
0.53722376,1785.7972,1794.3928
0.51765275,1772.7275,1781.01
0.48925838,1810.275,1818.1031
0.56400937,1726.3008,1735.325
0.5162675,1777.2686,1785.5288
0.56316185,1752.4465,1761.4572
0.5684654,1755.6484,1764.7439
0.57113385,1771.7913,1780.9294
