KL_numpy,recon_np,full_np
0.7417982,1804.1348,1816.0035
0.66743636,1799.0754,1809.7544
0.6703763,1768.0947,1778.8208
0.58255047,1829.5422,1838.863
0.6070823,1823.6864,1833.3997
0.631066,1780.4531,1790.5502
0.62454635,1794.1045,1804.0973
0.6280129,1793.1884,1803.2366
0.5674213,1815.7875,1824.8662
0.56095165,1806.9557,1815.9309
0.56546813,1785.3251,1794.3726
0.5620143,1822.0208,1831.013
0.53594023,1805.2985,1813.8735
0.53868896,1828.6469,1837.2659
0.5236157,1833.1024,1841.4802
0.5564209,1794.873,1803.7758
0.55367774,1781.4938,1790.3527
0.55273193,1795.5895,1804.4332
0.517779,1805.0159,1813.3003
0.53380656,1789.885,1798.4259
0.5741882,1721.0566,1730.2437
0.52236503,1805.0387,1813.3965
0.5988655,1746.6136,1756.1956
0.56048375,1768.3711,1777.3389
0.5423736,1791.6998,1800.3778
0.54764646,1750.8167,1759.579
0.5155677,1806.4496,1814.6986
0.54407966,1779.8958,1788.6011
0.54192907,1776.7275,1785.3984
0.4964796,1776.7308,1784.6746
0.5421521,1765.8274,1774.5018
0.5219902,1773.7135,1782.0653
0.51201105,1795.5045,1803.6967
0.49404582,1799.2821,1807.1869
0.5521824,1740.6409,1749.4758
0.509973,1790.5719,1798.7314
0.49393526,1777.4338,1785.3368
0.54056734,1749.5215,1758.1705
0.51801586,1760.5106,1768.7988
0.5308594,1807.0114,1815.5051
0.5328272,1802.7747,1811.2999
0.54434603,1755.5137,1764.2233
0.53255445,1763.0117,1771.5326
0.5060542,1781.483,1789.58
0.5464326,1775.6793,1784.4222
0.49853063,1814.3046,1822.281
0.52847445,1749.4218,1757.8773
0.5040369,1808.0002,1816.0648
0.5406043,1766.5432,1775.1929
0.5696583,1715.0184,1724.1329
0.48561192,1817.2434,1825.0132
0.5222918,1799.1829,1807.5396
0.536134,1760.8918,1769.47
0.5239348,1764.0605,1772.4435
0.52426594,1770.9657,1779.354
0.53955394,1773.8086,1782.4414
0.49783078,1784.107,1792.0724
0.512138,1767.525,1775.7192
0.5128176,1788.2932,1796.4983
0.49538404,1811.5406,1819.4668
0.5423914,1739.3391,1748.0173
0.5005993,1777.9211,1785.9308
0.51582175,1787.6692,1795.9224
0.5053067,1782.6923,1790.7772
0.5185065,1773.7977,1782.0939
0.54327697,1750.2115,1758.9039
0.5219888,1777.7533,1786.1051
0.5357127,1695.6454,1704.2168
0.5483047,1765.5969,1774.3698
0.52337974,1775.9144,1784.2885
0.53550154,1773.1791,1781.7471
0.50907326,1772.7239,1780.869
0.5234744,1740.5162,1748.8918
0.5018177,1792.3043,1800.3334
0.5110793,1773.0823,1781.2595
0.49368888,1820.3661,1828.2651
0.49408087,1789.1285,1797.0338
0.5013252,1798.8877,1806.9089
0.5215125,1775.4486,1783.7928
0.53469795,1781.9192,1790.4744
0.48954153,1810.414,1818.2466
0.5142851,1780.6415,1788.87
0.5211045,1781.9349,1790.2726
0.47847968,1788.9657,1796.6213
0.5326478,1752.4111,1760.9335
0.5144035,1780.765,1788.9955
0.53617275,1758.7152,1767.294
0.5427842,1743.643,1752.3275
0.5163499,1758.3798,1766.6414
0.529836,1758.3202,1766.7976
0.51134825,1797.0233,1805.2048
0.46988687,1811.1947,1818.7129
0.49326164,1812.6432,1820.5354
0.52828234,1777.6473,1786.0999
0.50769264,1777.2262,1785.3492
0.538391,1761.5098,1770.124
0.5184185,1778.891,1787.1857
0.4978819,1790.3574,1798.3235
0.50292915,1783.1731,1791.22
0.5398183,1740.1152,1748.7523
