KL_numpy,recon_np,full_np
0.90777427,1703.0325,1717.5569
0.810738,1721.4554,1734.4272
0.8612024,1713.0143,1726.7936
0.85333884,1714.3167,1727.9701
0.8442332,1696.4508,1709.9585
0.8377228,1706.8828,1720.2864
0.76491195,1774.6553,1786.8939
0.8057346,1740.0387,1752.9304
0.7630614,1756.7786,1768.9875
0.837436,1719.2621,1732.661
0.8090502,1706.6871,1719.632
0.8554517,1737.7373,1751.4246
0.80150336,1773.8538,1786.6779
0.8429732,1714.4222,1727.9098
0.7978002,1728.582,1741.3468
0.85254496,1719.8431,1733.4839
0.74524885,1766.1768,1778.1007
0.790114,1748.828,1761.4698
0.8678117,1675.5297,1689.4147
0.8142113,1725.3086,1738.3359
0.8101328,1713.2063,1726.1685
0.7918684,1739.2799,1751.9498
0.75468796,1771.0563,1783.1312
0.8265726,1705.8633,1719.0885
0.7907221,1738.2041,1750.8557
0.79188806,1728.5094,1741.1796
0.8410887,1741.4377,1754.8951
0.8190918,1692.1405,1705.246
0.8136498,1701.1254,1714.1438
0.776857,1725.1074,1737.5371
0.8007385,1720.2461,1733.0579
0.81584233,1730.9609,1744.0144
0.82705253,1678.7633,1691.9961
0.8218655,1739.4729,1752.6228
0.8580944,1705.0778,1718.8073
0.773911,1753.4242,1765.8068
0.82124215,1709.0922,1722.232
0.8251063,1725.2477,1738.4493
0.80894965,1688.3938,1701.337
0.8143139,1716.1527,1729.1818
0.76859456,1739.8418,1752.1393
0.7837464,1744.8997,1757.4396
0.8334891,1731.4857,1744.8215
0.84718126,1680.0674,1693.6223
0.78326964,1687.2089,1699.7412
0.83686274,1722.9172,1736.307
0.81411487,1746.467,1759.4929
0.7753805,1745.7734,1758.1796
0.77973276,1755.7291,1768.2048
0.8609293,1723.914,1737.6888
0.80971116,1743.9688,1756.9241
0.842225,1707.2047,1720.6803
0.85760987,1683.5121,1697.2339
0.792725,1734.576,1747.2596
0.81398326,1725.1301,1738.1538
0.7832664,1748.9778,1761.51
0.81394666,1687.9121,1700.9353
0.8356778,1669.4105,1682.7814
0.8315407,1692.2396,1705.5443
0.8340589,1712.5715,1725.9165
0.7580622,1757.8362,1769.9652
0.78496057,1729.3739,1741.9332
0.8556162,1686.6776,1700.3674
0.856709,1676.6676,1690.375
0.7884246,1719.2172,1731.8319
0.75396705,1749.0168,1761.0803
0.811294,1727.244,1740.2247
0.815251,1721.4797,1734.5238
0.8483392,1688.6992,1702.2727
0.77755696,1768.6766,1781.1176
0.83629,1699.302,1712.6826
0.7424626,1771.3516,1783.231
0.8156735,1732.2552,1745.306
0.8071203,1722.2448,1735.1587
0.74991363,1785.5195,1797.5182
0.804451,1746.391,1759.2622
0.83056927,1721.6989,1734.9879
0.83788836,1732.9486,1746.3549
0.78405464,1707.6659,1720.2108
0.8269419,1675.7096,1688.9407
0.7767398,1740.6434,1753.0713
0.79760695,1726.6295,1739.3912
0.7876221,1727.4924,1740.0944
0.7988515,1708.892,1721.6736
0.8759169,1667.3528,1681.3674
0.81506234,1713.8141,1726.8551
0.8119723,1748.5244,1761.516
0.8574497,1717.7473,1731.4666
0.81322235,1730.4287,1743.4403
0.7853039,1758.3795,1770.9443
0.7991418,1740.3768,1753.1631
0.8160893,1763.6385,1776.6959
0.7845472,1727.3174,1739.8701
0.841238,1711.4818,1724.9417
0.7907631,1712.639,1725.2913
0.8106112,1731.3451,1744.3148
0.85810083,1725.8047,1739.5343
0.77953666,1758.1747,1770.6472
0.8026822,1701.4752,1714.3181
0.8390446,1717.6752,1731.0999
