KL_numpy,recon_np,full_np
0.16764164,1781.513,1824.4292
0.18108188,1699.4384,1745.7953
0.18551417,1714.1721,1761.6637
0.16358122,1801.009,1842.8859
0.16505568,1779.9629,1822.2172
0.15767753,1782.2535,1822.619
0.15874447,1799.0912,1839.7297
0.17340858,1752.7311,1797.1237
0.16312484,1770.1012,1811.8612
0.15861277,1813.0355,1853.6404
0.18031009,1706.597,1752.7565
0.16370825,1775.8762,1817.7855
0.15930659,1781.3662,1822.1487
0.16402626,1775.5863,1817.577
0.19485867,1723.5934,1773.4772
0.15709971,1774.5941,1814.8116
0.15072687,1833.2112,1871.7972
0.15634124,1818.6526,1858.6759
0.16068159,1785.803,1826.9375
0.16973023,1721.3381,1764.7891
0.17302726,1752.7375,1797.0325
0.174488,1726.6133,1771.2822
0.1536144,1787.9188,1827.2441
0.17588928,1752.5145,1797.5422
0.17028293,1757.3398,1800.9323
0.18033254,1742.1068,1788.272
0.17651334,1735.663,1780.8503
0.16667214,1753.5555,1796.2236
0.16554248,1756.7699,1799.1488
0.15327393,1773.4086,1812.6467
0.16013217,1780.2168,1821.2107
0.16147129,1740.5504,1781.8871
0.1650146,1785.0038,1827.2476
0.17672935,1731.9893,1777.2319
0.16951557,1728.2532,1771.6492
0.1533757,1787.3239,1826.588
0.16103746,1762.6176,1803.8431
0.18342434,1748.7723,1795.729
0.1719908,1758.1102,1802.1399
0.16790669,1752.3512,1795.3353
0.17215998,1776.1307,1820.2037
0.16079034,1802.7366,1843.8989
0.17076993,1748.0905,1791.8076
0.15034579,1807.9678,1846.4563
0.15503898,1797.1097,1836.7997
0.16309442,1779.7258,1821.478
0.16768108,1770.6243,1813.5507
0.163874,1816.6035,1858.5553
0.18062186,1767.3466,1813.5857
0.17119764,1719.3883,1763.2148
0.16329072,1759.3563,1801.1587
0.17637354,1726.3485,1771.5001
0.16449432,1769.0461,1811.1567
0.17005825,1774.957,1818.492
0.16400112,1777.0966,1819.0808
0.15283023,1772.3759,1811.5004
0.16420542,1762.6262,1804.6628
0.14727373,1829.0618,1866.7638
0.15412454,1796.4762,1835.9321
0.16559426,1785.2861,1827.6782
0.17114109,1784.9781,1828.7903
0.16148518,1793.6246,1834.9648
0.17617092,1720.9608,1766.0605
0.17366734,1720.135,1764.5939
0.16714664,1750.5175,1793.307
0.18339658,1749.6334,1796.583
0.1506919,1805.0938,1843.6709
0.16957353,1762.318,1805.7288
0.15869449,1773.2708,1813.8965
0.16487367,1752.3665,1794.5741
0.15369819,1829.2219,1868.5686
0.16747728,1786.7875,1829.6616
0.15777496,1800.077,1840.4674
0.16435154,1778.4938,1820.5677
0.16689406,1755.1191,1797.844
0.16476011,1725.3506,1767.5292
0.15363483,1819.1259,1858.4564
0.16523187,1792.9694,1835.2687
0.16474445,1748.6637,1790.8383
0.16004094,1775.9078,1816.8783
0.16137372,1764.7295,1806.0411
0.16730776,1773.1024,1815.9332
0.16211654,1755.8715,1797.3733
0.15311275,1803.7854,1842.9823
0.15885127,1743.042,1783.7079
0.16216992,1742.0488,1783.5643
0.17395516,1749.6125,1794.145
0.15671796,1826.7754,1866.8951
0.15791023,1777.0878,1817.5128
0.1690244,1777.4836,1820.7539
0.1497562,1790.1844,1828.522
0.15713596,1771.2555,1811.4823
0.16435702,1772.7621,1814.8375
0.15833026,1763.3245,1803.857
0.1543821,1806.6659,1846.1877
0.16265826,1770.6152,1812.2557
0.16998172,1764.5367,1808.052
0.1572695,1785.0463,1825.3073
0.16433898,1769.8778,1811.9486
0.16323054,1772.4629,1814.2499
