KL_numpy,recon_np,full_np
0.14259422,1783.3154,1819.8196
0.13297777,1800.7812,1834.8236
0.13592656,1777.7035,1812.5007
0.13108934,1789.8418,1823.4006
0.14184327,1768.9071,1805.219
0.1263756,1804.508,1836.8602
0.12892376,1804.7239,1837.7284
0.1368368,1782.554,1817.5842
0.11918819,1831.3414,1861.8536
0.13594685,1768.7157,1803.5181
0.12660038,1793.4459,1825.8556
0.1394117,1777.9658,1813.6553
0.12884204,1817.3018,1850.2853
0.13713993,1752.8612,1787.969
0.13454221,1766.0898,1800.5326
0.12825012,1807.0956,1839.9276
0.12734471,1793.3362,1825.9364
0.12102153,1822.4691,1853.4507
0.1275181,1812.3118,1844.9564
0.13270998,1808.8378,1842.8115
0.13702442,1772.776,1807.8542
0.13992564,1763.4364,1799.2573
0.12985723,1791.9183,1825.1617
0.13002412,1792.5315,1825.8176
0.13226911,1766.7123,1800.5731
0.12660575,1825.1858,1857.5969
0.13723752,1763.8164,1798.9492
0.12683904,1783.209,1815.6798
0.13090394,1767.2938,1800.8052
0.13362782,1796.327,1830.5358
0.12227976,1819.6981,1851.0017
0.123038344,1803.6735,1835.1713
0.1310444,1774.3,1807.8474
0.12082616,1842.2025,1873.134
0.12848191,1820.0414,1852.9327
0.119427755,1834.289,1864.8624
0.12577593,1812.0355,1844.2341
0.13021846,1796.8105,1830.1465
0.13668163,1771.5383,1806.5288
0.12049311,1802.5992,1833.4454
0.12582886,1798.6664,1830.8785
0.13950177,1759.194,1794.9064
0.120735645,1838.5023,1869.4106
0.1306562,1760.4076,1793.8556
0.1285793,1768.0598,1800.9761
0.13657804,1761.5801,1796.5441
0.13308106,1772.275,1806.3438
0.12603442,1815.5576,1847.8224
0.13138847,1765.801,1799.4365
0.13730164,1789.2249,1824.374
0.13352987,1751.2711,1785.4547
0.13733123,1745.7587,1780.9154
0.13284831,1748.0765,1782.0857
0.13592854,1740.2867,1775.0845
0.11667287,1808.6217,1838.49
0.1336484,1763.8528,1798.0668
0.130907,1759.7249,1793.237
0.12416599,1806.2855,1838.072
0.12592211,1819.4131,1851.6492
0.14413401,1745.0286,1781.9269
0.143535,1747.0693,1783.8143
0.13821034,1755.7744,1791.1562
0.12735358,1788.6903,1821.2928
0.13324857,1770.3265,1804.4382
0.13142328,1773.4691,1807.1135
0.12653144,1823.5465,1855.9386
0.13651624,1770.7883,1805.7365
0.12680192,1782.4908,1814.9521
0.1413918,1740.6884,1776.8846
0.1251446,1800.3942,1832.4312
0.1334324,1772.0302,1806.1888
0.130944,1752.3928,1785.9144
0.13602445,1773.1571,1807.9794
0.12986182,1790.1344,1823.379
0.1310666,1792.583,1826.1361
0.11004688,1841.6547,1869.8267
0.13551842,1752.4951,1787.1879
0.12552306,1794.4131,1826.547
0.1285538,1781.5312,1814.441
0.12472352,1834.7516,1866.6808
0.1274718,1791.9957,1824.6285
0.124592975,1820.7854,1852.6812
0.12393087,1810.9697,1842.696
0.13015692,1771.5172,1804.8374
0.13613503,1768.9983,1803.8489
0.12638684,1808.2219,1840.5769
0.11774909,1813.6559,1843.7997
0.12890764,1801.6986,1834.699
0.12539211,1804.7024,1836.8027
0.14546189,1752.7294,1789.9677
0.12946148,1772.0754,1805.2175
0.13508707,1774.5941,1809.1764
0.13433567,1783.4199,1817.8098
0.11460724,1840.652,1869.9915
0.12547128,1803.4749,1835.5955
0.13197231,1796.0879,1829.8728
0.13288637,1770.5344,1804.5533
0.12479543,1790.913,1822.8606
0.13546374,1775.2415,1809.9202
0.133363,1767.5504,1801.6913
