KL_numpy,recon_np,full_np
0.3748229,1794.3856,1818.3743
0.35828453,1771.7777,1794.7079
0.36574474,1791.4192,1814.8269
0.3326304,1790.7484,1812.0367
0.35186598,1772.0276,1794.547
0.3474187,1730.8942,1753.1289
0.30422896,1837.6469,1857.1176
0.358952,1738.9388,1761.9117
0.35341167,1756.6221,1779.2405
0.33865148,1784.9746,1806.6483
0.34944,1749.4078,1771.772
0.29346338,1807.4069,1826.1885
0.32529828,1774.0742,1794.8933
0.31878915,1757.6172,1778.0197
0.30114746,1780.5853,1799.8588
0.33272377,1782.5012,1803.7955
0.3378093,1729.043,1750.6627
0.3095929,1784.3479,1804.1619
0.31665137,1775.993,1796.2588
0.3180579,1746.1556,1766.5114
0.32785717,1737.6799,1758.6628
0.30802384,1774.459,1794.1725
0.3004671,1814.9374,1834.1672
0.31206557,1755.537,1775.5092
0.3292898,1719.1102,1740.1848
0.3055348,1769.4735,1789.0277
0.32334247,1738.2383,1758.9323
0.2994283,1795.8353,1814.9988
0.3395801,1720.5397,1742.2728
0.31853738,1771.1129,1791.4993
0.2997314,1793.1465,1812.3293
0.32688558,1758.0875,1779.0082
0.3177534,1772.9633,1793.2994
0.29417673,1801.8535,1820.6808
0.32286522,1774.7402,1795.4036
0.3025949,1780.2795,1799.6456
0.32496825,1753.7773,1774.5753
0.31163242,1747.8254,1767.7699
0.32057425,1767.1549,1787.6716
0.3202961,1736.3395,1756.8384
0.30631107,1752.1123,1771.7162
0.32848698,1752.791,1773.8142
0.3116154,1752.1855,1772.1289
0.31943166,1768.2063,1788.6499
0.27312315,1849.4094,1866.8893
0.3078569,1786.0038,1805.7067
0.33974478,1712.3076,1734.0513
0.31838286,1781.7262,1802.1027
0.29979682,1787.9508,1807.1378
0.3369312,1698.9733,1720.5369
0.30709925,1775.3417,1794.996
0.33311805,1732.3871,1753.7067
0.3053766,1819.1116,1838.6556
0.32083663,1739.5133,1760.0469
0.31932732,1748.7382,1769.175
0.3221157,1720.3466,1740.9619
0.32759064,1733.1758,1754.1416
0.3070611,1777.1237,1796.7755
0.30958745,1764.6705,1784.4841
0.31397256,1767.609,1787.7032
0.33583108,1769.0485,1790.5416
0.3327917,1751.2812,1772.58
0.31468603,1747.6754,1767.8153
0.32032743,1746.888,1767.3889
0.31057468,1752.7887,1772.6655
0.27723882,1802.3759,1820.1191
0.30073604,1788.5227,1807.7698
0.3141004,1762.4156,1782.5181
0.3186283,1734.2129,1754.6051
0.29589638,1769.6718,1788.6091
0.31821087,1753.761,1774.1265
0.3047832,1793.9586,1813.4647
0.3197875,1762.8938,1783.3602
0.30342013,1783.8104,1803.2294
0.317682,1735.2694,1755.6011
0.31364012,1779.7836,1799.8566
0.30568132,1764.5594,1784.123
0.31134018,1758.0992,1778.025
0.31367394,1773.723,1793.7981
0.30415484,1768.5609,1788.0269
0.31661016,1787.1595,1807.4226
0.3022893,1810.1754,1829.522
0.33331403,1746.2216,1767.5537
0.31982452,1782.7747,1803.2434
0.31941944,1763.3945,1783.8374
0.30783328,1745.5383,1765.2396
0.29361343,1781.2416,1800.0328
0.30674103,1789.8265,1809.458
0.2997193,1783.1038,1802.2858
0.32773098,1767.1963,1788.171
0.32918283,1697.995,1719.0627
0.32491592,1778.9768,1799.7715
0.33499512,1748.3207,1769.7604
0.3350659,1741.8772,1763.3214
0.31726977,1780.668,1800.9733
0.3201635,1773.6387,1794.1292
0.3511916,1722.2489,1744.7252
0.34051645,1743.0449,1764.838
0.31241083,1771.6351,1791.6294
0.32932854,1748.6073,1769.6843
