KL_numpy,recon_np,full_np
0.2845963,1799.0985,1817.3126
0.2973319,1756.9918,1776.0211
0.26979697,1792.7533,1810.0203
0.25735256,1816.7227,1833.1932
0.26641926,1788.0336,1805.0844
0.25924513,1791.2865,1807.8782
0.28115568,1746.457,1764.451
0.26990283,1771.2992,1788.573
0.2704686,1798.9742,1816.2842
0.27380404,1774.1211,1791.6445
0.2711585,1767.5575,1784.9116
0.28536248,1748.289,1766.5521
0.26779327,1786.218,1803.3568
0.25524697,1816.691,1833.0269
0.2710524,1776.1864,1793.5338
0.26828,1768.2473,1785.4172
0.25066882,1817.7894,1833.8323
0.26561144,1808.4219,1825.421
0.260487,1797.3922,1814.0634
0.28295514,1744.5322,1762.6414
0.26346362,1817.7601,1834.6218
0.2818321,1769.8239,1787.8611
0.2681923,1749.1722,1766.3365
0.2804854,1758.0272,1775.9783
0.27223933,1771.0088,1788.4321
0.25885707,1802.916,1819.4829
0.24718538,1818.2034,1834.0232
0.26375508,1797.6191,1814.4995
0.26536337,1790.9727,1807.9559
0.2551195,1811.3073,1827.6349
0.25955093,1795.973,1812.5842
0.27711254,1766.6664,1784.4016
0.27707228,1780.7047,1798.4374
0.26070714,1772.2913,1788.9766
0.28119537,1784.0438,1802.0403
0.26636964,1802.5647,1819.6123
0.25494164,1778.139,1794.4553
0.25466204,1809.4789,1825.7772
0.25600222,1785.1891,1801.5732
0.27533358,1758.8251,1776.4464
0.26490948,1782.1995,1799.1537
0.27222237,1762.0453,1779.4675
0.24261029,1810.6581,1826.1852
0.28067622,1739.402,1757.3652
0.26857477,1759.7567,1776.9456
0.25292584,1782.6184,1798.8057
0.27000365,1791.034,1808.3143
0.24862388,1806.4545,1822.3665
0.28092504,1753.569,1771.5482
0.25594458,1804.4485,1820.829
0.26206964,1831.3993,1848.1718
0.2643609,1813.2512,1830.1703
0.2821661,1796.4799,1814.5385
0.27435014,1779.7555,1797.3138
0.27202007,1782.72,1800.1293
0.27523938,1756.2148,1773.8302
0.26300645,1814.7391,1831.5715
0.28755888,1791.902,1810.3058
0.2836282,1755.538,1773.6902
0.28259957,1768.4785,1786.565
0.2828211,1788.0996,1806.2002
0.2775806,1766.1213,1783.8865
0.29532272,1759.0624,1777.963
0.25944015,1805.6937,1822.2979
0.26535255,1773.3251,1790.3076
0.28430432,1787.0934,1805.2888
0.2791445,1761.5101,1779.3754
0.2790061,1751.4153,1769.2717
0.2725482,1783.2311,1800.6742
0.2887884,1752.3951,1770.8776
0.27219787,1807.9095,1825.3302
0.29267552,1773.4495,1792.1807
0.25947475,1806.7756,1823.3821
0.2712379,1746.0334,1763.3927
0.2734135,1785.3242,1802.8226
0.28051707,1764.0758,1782.0289
0.26351848,1790.9547,1807.82
0.28789032,1748.7655,1767.1904
0.25379276,1816.1288,1832.3716
0.27603388,1801.1298,1818.7959
0.2886795,1755.0039,1773.4794
0.27812997,1774.679,1792.4792
0.2762626,1779.2766,1796.9574
0.26005402,1782.1029,1798.7463
0.28756505,1771.1086,1789.5128
0.27037653,1778.016,1795.3201
0.27803177,1768.9672,1786.7612
0.27454406,1756.39,1773.9608
0.2742058,1765.7115,1783.2607
0.2803152,1775.8495,1793.7897
0.26793337,1762.3453,1779.493
0.25366536,1819.0631,1835.2977
0.27999315,1756.747,1774.6665
0.26421198,1800.1891,1817.0986
0.26361224,1770.9965,1787.8677
0.2810195,1764.1633,1782.1486
0.2840201,1761.7513,1779.9286
0.2647115,1784.513,1801.4545
0.2742619,1791.1293,1808.682
0.28114668,1758.9456,1776.939
