KL_numpy,recon_np,full_np
0.087717436,2109.7273,2122.3665
0.21480909,2008.0914,2008.1185
0.078590825,1943.9135,1946.8617
0.68080914,1867.9808,1868.3027
0.113714755,1887.1967,1892.3151
0.13585578,1909.5973,1915.3062
0.8633486,1900.1559,1900.8594
0.10201114,1888.643,1895.4845
0.13352999,1908.5709,1909.5261
0.0983803,1900.1838,1918.1234
2.0793047,1853.3127,1853.9424
2.06725,1861.9153,1862.7971
2.4453018,1884.6537,1886.3176
0.1641907,1855.2266,1856.8208
0.7938565,1869.1376,1869.2444
0.7969668,1864.3744,1867.576
0.10624547,1883.9515,1886.5359
0.17099576,1864.9338,1867.4487
0.15495296,1841.4508,1844.3977
0.09788795,1878.4404,1901.2983
1.5386457,1862.3597,1863.063
0.10112039,1863.1602,1900.1234
0.12495478,1871.4414,1878.222
0.110466555,1868.2172,1888.3352
1.5898203,1820.3329,1822.0664
1.1806465,1853.7054,1854.999
1.7663192,1830.7635,1831.7927
0.126313,1851.8915,1855.5715
0.22962976,1835.2867,1836.3359
0.13623464,1832.3752,1858.8273
2.7106855,1847.7421,1848.7513
0.5528893,1837.0287,1838.344
2.2722468,1851.8877,1852.9275
0.15959208,1844.0375,1847.5376
0.1503615,1840.6711,1871.5663
0.6779316,1807.9989,1810.4989
1.8072445,1872.6016,1875.6343
0.7992872,1800.5575,1802.1675
0.42118484,1802.2727,1804.0706
0.14133008,1843.7606,1867.2661
1.0003818,1788.7539,1789.3086
1.2988844,1832.3711,1834.1272
0.57478505,1817.8912,1819.566
2.298877,1806.676,1807.0472
0.12369924,1843.4066,1869.1062
3.039293,1782.3271,1783.4203
0.1444964,1831.3773,1847.6023
0.13906841,1801.4,1806.3644
0.393306,1836.6621,1839.2483
0.11436453,1862.2626,1875.4442
1.3279324,1823.6819,1826.7006
0.19520245,1805.1449,1810.3344
0.15814304,1798.0156,1866.4368
0.29880682,1829.9589,1831.6542
0.2479857,1790.9404,1794.1448
0.7170281,1813.7489,1816.3257
0.63432926,1791.4501,1793.6199
0.14351843,1872.6405,1896.6078
1.4669085,1807.375,1807.7079
1.3813744,1807.868,1808.0713
2.1316388,1794.2317,1794.544
2.9528382,1775.4117,1776.0665
1.4295624,1799.3102,1800.8849
0.14028423,1853.4391,1912.5369
0.13345192,1828.1555,1846.8943
0.1421115,1818.8805,1843.3466
0.14382885,1823.9727,1826.0605
0.14507549,1802.577,1836.829
2.0301974,1822.0238,1822.6018
0.15306953,1806.2649,1807.8391
0.16643715,1790.3043,1796.7279
1.8962212,1748.6451,1749.74
2.025105,1806.1348,1806.9979
0.20708466,1781.9567,1800.5112
0.192605,1793.6497,1835.2676
0.15710798,1887.9137,1920.1259
0.24193425,1775.0403,1870.6626
0.23541127,1820.7379,1822.2821
0.17843221,1822.3323,1825.2253
1.3452176,1758.6389,1761.5242
2.5154533,1787.2242,1788.6349
1.8059921,1777.1172,1777.3463
0.15737157,1827.6149,1838.9795
0.18283814,1837.1276,1898.2816
4.347333,1813.6436,1814.4155
2.4145343,1773.7451,1778.3772
2.2119274,1747.0609,1749.4735
0.18102169,1785.4867,1799.331
1.7594795,1778.5546,1781.6245
0.15992616,1787.7301,1802.059
0.16876757,1845.6194,1901.0332
0.18956415,1809.6897,1848.092
0.16375689,1784.2147,1809.3353
1.5049084,1820.4364,1822.3823
0.75516534,1777.7933,1784.8411
0.16847013,1782.1488,1852.0908
0.8545441,1783.7909,1785.2607
0.20004292,1791.5746,1792.8011
1.9606802,1786.5168,1787.9534
0.14831291,1845.8627,1849.1445
