KL_numpy,recon_np,full_np
0.39825842,1751.974,1777.4625
0.4351472,1687.6168,1715.4662
0.42761016,1700.6725,1728.0396
0.40060803,1773.2357,1798.8746
0.42165813,1709.427,1736.4131
0.37678927,1771.3398,1795.4543
0.39601824,1716.7346,1742.0798
0.4266613,1692.8661,1720.1724
0.37710297,1774.4326,1798.5673
0.40023872,1746.3915,1772.0067
0.4263168,1702.8461,1730.1304
0.37173262,1748.2434,1772.0343
0.35722837,1775.9719,1798.8346
0.4027404,1719.9178,1745.6932
0.39379287,1741.3802,1766.583
0.3790685,1751.6165,1775.8768
0.41004276,1719.0731,1745.3159
0.38570973,1732.3861,1757.0715
0.38994893,1731.3265,1756.2833
0.38566205,1763.9052,1788.5875
0.3644205,1777.611,1800.9338
0.377691,1724.9266,1749.0989
0.37796614,1738.5231,1762.7129
0.38988215,1764.7516,1789.7041
0.37886268,1742.6721,1766.9193
0.4192094,1734.5928,1761.4221
0.3712632,1771.2493,1795.0101
0.3815486,1710.8544,1735.2734
0.41630194,1679.025,1705.6683
0.35412616,1790.5801,1813.2441
0.41104418,1701.902,1728.2089
0.3616305,1741.984,1765.1284
0.3958988,1768.9362,1794.2737
0.40152097,1711.7747,1737.472
0.3826666,1758.8217,1783.3123
0.41635162,1710.7617,1737.4082
0.41027603,1719.8567,1746.1144
0.36847326,1780.9012,1804.4835
0.37434942,1754.4891,1778.4475
0.37605268,1764.2653,1788.3326
0.44177714,1656.793,1685.0667
0.37544546,1777.9143,1801.9429
0.38998356,1726.3424,1751.3014
0.39901197,1732.1451,1757.6819
0.38611883,1751.194,1775.9055
0.394507,1725.1903,1750.4387
0.4194706,1731.0983,1757.9443
0.37697172,1758.0168,1782.1431
0.38487333,1728.0311,1752.663
0.41169214,1751.0629,1777.4111
0.39563304,1699.7063,1725.0269
0.3796793,1693.0647,1717.3641
0.38372013,1746.5409,1771.099
0.3628431,1764.7499,1787.9718
0.3869725,1720.0131,1744.7793
0.37490276,1720.3573,1744.3511
0.3865459,1745.7773,1770.5162
0.38118705,1764.0297,1788.4257
0.38791293,1752.5459,1777.3723
0.39414188,1712.2805,1737.5056
0.38300484,1689.2897,1713.802
0.40407306,1724.316,1750.1768
0.41075286,1688.258,1714.5463
0.37657747,1775.6768,1799.7777
0.37429342,1755.4235,1779.3783
0.36415416,1762.2565,1785.5624
0.39666763,1763.9316,1789.3184
0.38062626,1767.9954,1792.3555
0.3927137,1708.3754,1733.509
0.377674,1756.3594,1780.5305
0.38879815,1726.8977,1751.7808
0.3993313,1750.1715,1775.7288
0.37768635,1710.1246,1734.2965
0.35638496,1766.538,1789.3466
0.3796904,1741.5908,1765.891
0.3912822,1745.5946,1770.6367
0.3651602,1745.8368,1769.207
0.38771304,1736.725,1761.5386
0.37109023,1745.8391,1769.5889
0.3825957,1732.3235,1756.8096
0.3994689,1708.2811,1733.8472
0.36662355,1769.6881,1793.152
0.37215587,1749.161,1772.979
0.3636903,1742.1918,1765.4679
0.36962706,1784.7168,1808.3729
0.39505932,1737.7938,1763.0776
0.393663,1718.5358,1743.7302
0.4080883,1743.6097,1769.7274
0.40008387,1727.3658,1752.9712
0.38516194,1749.4633,1774.1136
0.40119645,1714.5631,1740.2396
0.40441343,1716.3317,1742.2141
0.37335476,1775.1113,1799.006
0.40619215,1761.6783,1787.6747
0.4023268,1686.6754,1712.4243
0.39304733,1719.2767,1744.4318
0.3989304,1730.3993,1755.9308
0.38721213,1738.4408,1763.2224
0.36363593,1774.3612,1797.6339
0.3600817,1754.1406,1777.1859
