KL_numpy,recon_np,full_np
0.8144812,2082.3794,2083.1938
1.8286351,1952.8197,1954.6483
1.8046166,1905.3691,1907.1737
1.5730915,1921.201,1922.7742
1.687753,1890.8215,1892.5093
1.7194146,1878.4133,1880.1327
1.4287509,1902.5422,1903.971
1.9155239,1880.7213,1882.6368
2.0164564,1855.9172,1857.9337
1.9607338,1826.3285,1828.2892
1.6669286,1895.2891,1896.9559
1.5889606,1884.9583,1886.5472
1.7279446,1861.7451,1863.473
1.6879281,1877.9164,1879.6044
1.633624,1893.2645,1894.8982
1.7284482,1888.3896,1890.118
1.8342438,1880.473,1882.3073
2.1482809,1799.5996,1801.7479
1.7935886,1856.8036,1858.5972
1.8674881,1870.035,1871.9025
2.0222988,1823.2344,1825.2567
1.7844056,1866.1934,1867.9778
1.6563619,1877.8268,1879.4832
1.8855927,1850.0098,1851.8954
1.6793236,1849.6532,1851.3325
1.692783,1879.3304,1881.0232
1.7450951,1842.7958,1844.5409
1.6758114,1872.1246,1873.8004
2.120903,1772.195,1774.3158
1.6554326,1893.0166,1894.672
1.7393149,1850.018,1851.7572
2.0584536,1793.9579,1796.0164
1.8332733,1846.6328,1848.4661
1.938768,1843.0726,1845.0114
1.9447426,1827.4221,1829.3668
2.0338993,1781.7123,1783.7462
1.9090153,1837.2526,1839.1616
1.8081032,1855.5481,1857.3562
1.8461634,1822.4183,1824.2645
1.9112393,1799.3121,1801.2234
1.8293307,1843.0999,1844.9292
1.9816782,1816.9668,1818.9485
1.8484999,1830.7668,1832.6154
2.0140035,1803.3118,1805.3258
1.8178635,1821.5687,1823.3866
2.022836,1812.2471,1814.2699
2.3503284,1827.6527,1830.003
2.3635616,1802.4965,1804.86
2.2346318,1823.3876,1825.6222
2.2857761,1804.4401,1806.7258
2.2949722,1824.7819,1827.0768
1.9963235,1850.1946,1852.1909
2.4189699,1763.202,1765.621
2.206042,1834.8649,1837.0709
2.1093566,1807.8086,1809.918
2.05321,1793.5667,1795.6199
1.987862,1846.4652,1848.4531
2.0210843,1823.2386,1825.2598
2.0011435,1818.1891,1820.1902
1.9957539,1842.3817,1844.3774
2.1635714,1755.3856,1757.5492
2.0018346,1844.0443,1846.0461
2.2593572,1808.1312,1810.3906
2.1669738,1821.6744,1823.8414
2.0699875,1824.3418,1826.4117
2.1513255,1780.7949,1782.9463
2.228464,1800.6074,1802.8359
2.1999505,1789.7223,1791.9222
2.3235452,1768.4716,1770.795
2.246128,1826.9235,1829.1696
2.2620046,1788.6322,1790.8942
2.3228626,1776.6454,1778.9683
2.2160022,1772.8782,1775.0941
2.1466024,1826.8903,1829.0369
2.1438406,1796.7509,1798.8947
2.1148465,1828.5823,1830.6971
2.350106,1727.3079,1729.658
2.2535317,1795.679,1797.9325
2.2903254,1776.2145,1778.5048
2.285695,1757.5045,1759.7902
2.2863426,1795.834,1798.1204
2.1675994,1787.5891,1789.7567
2.2232883,1808.2539,1810.4772
2.1204205,1796.3525,1798.4729
2.2494266,1802.1927,1804.4421
2.1648726,1827.3602,1829.5251
2.3579879,1746.9994,1749.3574
2.312806,1767.4456,1769.7584
2.324062,1735.055,1737.3792
2.1427019,1821.8094,1823.9521
2.214568,1811.0306,1813.2452
2.295198,1772.3184,1774.6135
2.2166183,1801.1913,1803.408
2.1802948,1800.4227,1802.603
2.2020662,1792.7504,1794.9524
2.3352027,1795.6481,1797.9833
2.2459838,1804.9613,1807.2073
2.458479,1759.8824,1762.341
2.251561,1823.534,1825.7856
2.246145,1787.8496,1790.0957
