KL_numpy,recon_np,full_np
1.3006513,1963.1805,1964.4812
1.820961,1886.7401,1888.561
1.7971642,1925.6178,1927.4149
2.1033273,1885.0751,1887.1783
1.8832127,1875.959,1877.8422
1.9074408,1851.9297,1853.8372
1.8565426,1875.9973,1877.8539
1.9587288,1893.2958,1895.2545
2.3601348,1836.5258,1838.8859
2.6088822,1834.0387,1836.6476
2.5841835,1823.2317,1825.8159
2.7856185,1765.9658,1768.7515
1.9584726,1845.2698,1847.2283
1.9444693,1872.7574,1874.7019
2.0244966,1841.8094,1843.834
2.1845093,1839.343,1841.5276
2.290303,1788.0364,1790.3267
2.184655,1855.2465,1857.4312
2.4675024,1808.3531,1810.8207
2.0403082,1818.7571,1820.7974
2.3950899,1786.6996,1789.0947
2.173855,1846.1455,1848.3193
2.3732517,1811.8112,1814.1844
2.4732444,1806.5862,1809.0594
2.2817276,1825.6992,1827.981
2.2584875,1825.413,1827.6715
2.5899286,1781.8219,1784.4119
2.2739162,1851.0563,1853.3302
2.37514,1816.0497,1818.4248
2.6960886,1793.618,1796.3141
2.3719714,1794.1598,1796.5317
2.400775,1832.1722,1834.573
2.3655913,1786.5107,1788.8763
2.501059,1768.7035,1771.2046
2.5043747,1776.0114,1778.5157
2.5154178,1776.6864,1779.2018
2.606165,1831.0002,1833.6064
2.7857058,1771.6217,1774.4075
2.488367,1803.0023,1805.4907
2.6273377,1779.428,1782.0553
2.4834545,1811.6871,1814.1705
2.3194463,1823.7396,1826.0591
2.7316248,1779.7668,1782.4984
2.6467838,1757.308,1759.9547
2.5918403,1795.805,1798.3969
2.5506012,1791.3903,1793.9409
2.4959972,1762.9364,1765.4324
2.4364784,1826.3645,1828.801
2.569923,1745.5042,1748.0741
2.5072923,1786.092,1788.5994
2.6346815,1726.348,1728.9827
2.5505633,1774.5836,1777.1342
2.6322982,1758.4817,1761.114
2.648447,1747.2883,1749.9368
2.529952,1805.284,1807.814
2.480975,1803.0374,1805.5183
2.4349682,1809.0746,1811.5095
2.7429826,1752.5673,1755.3103
2.4510467,1827.623,1830.0741
2.5054193,1802.377,1804.8823
2.730231,1748.5826,1751.3129
2.4931056,1803.7825,1806.2756
2.6765983,1750.0559,1752.7325
2.5880334,1772.5149,1775.1029
2.522691,1792.9885,1795.5112
2.6097558,1783.1664,1785.7761
2.6321883,1737.8424,1740.4746
2.594197,1791.5938,1794.188
2.617658,1769.917,1772.5347
2.4888954,1788.2438,1790.7327
2.6838496,1726.1497,1728.8335
2.6045501,1784.2637,1786.8682
2.618693,1761.747,1764.3656
2.7284636,1705.8024,1708.5309
2.5683374,1774.018,1776.5863
2.604892,1754.6688,1757.2737
2.4767876,1810.5106,1812.9874
2.5037587,1785.6478,1788.1516
2.6371243,1757.2076,1759.8447
2.637626,1785.3646,1788.0022
2.6609132,1772.193,1774.8539
2.5848148,1776.3285,1778.9133
2.7348733,1783.6884,1786.4232
2.559509,1804.706,1807.2655
2.8733041,1745.8281,1748.7014
2.774213,1747.4813,1750.2555
2.9390132,1756.1578,1759.0968
2.7786987,1734.7594,1737.5381
2.6961868,1772.681,1775.3772
2.8319397,1707.9237,1710.7556
3.0183876,1759.6797,1762.6981
2.7639682,1755.6008,1758.3647
2.5742128,1780.8167,1783.3909
2.6014287,1769.3739,1771.9753
2.8646343,1723.5039,1726.3685
2.8195863,1750.0922,1752.9117
2.8231928,1760.5406,1763.3639
2.906815,1749.4789,1752.3857
2.7139726,1757.2053,1759.9193
2.7687085,1772.5914,1775.3601
